rounds,accuracy
round_0,0.3572467721403891
round_1,0.4069830878341516
round_2,0.4508092380432806
round_3,0.4729041643935261
round_4,0.4996362975086379
round_5,0.5042735042735043
round_6,0.5291871249318058
round_7,0.5598290598290598
round_8,0.561102018548827
round_9,0.5800145480996545
round_10,0.585561011092926
round_11,0.5954719039825422
round_12,0.5946535733769777
round_13,0.616384797235861
round_14,0.6131114748136025
round_15,0.610201854882706
round_16,0.6311147481360248
round_17,0.6221131114748136
round_18,0.6319330787415893
round_19,0.6371158392434988
